район,население
муниципальный округ Адмиралтейский округ,24189
муниципальный округ Екатерингофский,21890
муниципальный округ Измайловское,32807
муниципальный округ Коломна,34026
муниципальный округ Семеновский,22414
муниципальный округ Сенной округ,20655
муниципальный округ N 7,36280
муниципальный округ Васильевский,31585
муниципальный округ Гавань,41303
муниципальный округ Морской,36263
муниципальный округ Остров Декабристов,61249
муниципальный округ N 15,61391
муниципальный округ Сампсониевское,39131
муниципальный округ Светлановское,90520
муниципальный округ Сергиевское,60618
муниципальный округ Сосновское,60911
муниципальный округ Шувалово-Озерки,116843
поселок Левашово,6021
поселок Парголово,106155
муниципальный округ N 21,77593
муниципальный округ Академическое,109911
муниципальный округ Гражданка,68562
муниципальный округ Пискаревка,81911
муниципальный округ Прометей,77426
муниципальный округ Северный,48582
муниципальный округ Финляндский округ,72809
муниципальный округ Автово,43206
муниципальный округ Дачное,71589
муниципальный округ Княжево,60608
муниципальный округ Красненькая речка,38921
муниципальный округ Морские ворота,10582
муниципальный округ Нарвский округ,33630
муниципальный округ Ульянка,77238
город Колпино,143914
поселок Металлострой,27313
поселок Петро-Славянка,2090
поселок Понтонный,8588
поселок Саперный,1638
поселок Усть-Ижора,2626
муниципальный округ Большая Охта,58140
муниципальный округ Малая Охта,43414
муниципальный округ Полюстрово,75180
муниципальный округ Пороховые,128949
муниципальный округ Ржевка,61288
город Красное Село,58652
муниципальный округ Горелово,27781
муниципальный округ Константиновское,36169
муниципальный округ Сосновая Поляна,70165
муниципальный округ Урицк,51054
муниципальный округ Юго-Запад,59379
муниципальный округ Южно-Приморский,128346
город Кронштадт,44414
город Зеленогорск,15492
город Сестрорецк,45697
поселок Белоостров,2460
поселок Комарово,1487
поселок Молодежное,1668
поселок Песочный,9860
поселок Репино,2917
поселок Серово,314
поселок Смолячково,827
поселок Солнечное,1955
поселок Ушково,814
муниципальный округ Гагаринское,66266
муниципальный округ Звездное,93945
муниципальный округ Московская застава,45138
муниципальный округ Новоизмайловское,84009
муниципальный округ Пулковский меридиан,45863
муниципальный округ N 54,67521
муниципальный округ Ивановский,27186
муниципальный округ Народный,79305
муниципальный округ Невская застава,27970
муниципальный округ Невский округ,69327
муниципальный округ Обуховский,56592
муниципальный округ Оккервиль,62118
муниципальный округ Правобережный,87918
муниципальный округ Рыбацкое,69959
муниципальный округ Аптекарский остров,20667
муниципальный округ Введенский,15514
муниципальный округ Кронверкское,16600
муниципальный округ Петровский,17467
муниципальный округ Посадский,15861
муниципальный округ Чкаловское,29648
город Ломоносов,39088
город Петергоф,80701
поселок Стрельна,14359
муниципальный округ N 65,190318
муниципальный округ Коломяги,117578
муниципальный округ Комендантский аэродром,94158
муниципальный округ Лахта-Ольгино,15347
муниципальный округ Озеро Долгое,91272
муниципальный округ Черная речка,69822
муниципальный округ Юнтолово,114257
поселок Лисий Нос,6491
город Павловск,17775
город Пушкин,108187
поселок Александровская,3089
поселок Тярлево,1703
поселок Шушары,132978
муниципальный округ N 75,62309
муниципальный округ Балканский,74005
муниципальный округ Волковское,61246
муниципальный округ Георгиевский,92460
муниципальный округ Купчино,56117
муниципальный округ N 78,9085
муниципальный округ Владимирский,50302
муниципальный округ Дворцовый округ,7348
муниципальный округ Лиговка-Ямская,19563
муниципальный округ Литейный округ,40151
муниципальный округ Смольнинское,74205
муниципальный округ N 72,67846
